id,question,answer,key_fact
1,What is the pattern of the Men Regular Fit Casual Shirt?,Checkered,Checkered casual shirt
2,What is the price of the Men Regular Fit Checkered Slim Collar Casual Shirt?,₹429,Checkered casual shirt price
3,What is the sleeve type of the Men Regular Fit Solid Spread Collar Casual Shirt?,Full Sleeve,Black solid shirt
4,What are the available colors of the Men Regular Fit Striped Spread Collar Casual Shirt?,White and Blue,Striped casual shirt colors
5,What is the price of the Men Slim Fit Checkered Casual Shirt?,₹799,Blue checkered shirt price
6,What is the fabric material of the Men Regular Fit Solid Spread Collar Formal Shirt?,Cotton,Grey solid formal shirt
7,What is the price of the Men Regular Fit Solid Casual Shirt?,₹349,Maroon solid casual shirt
8,What is the fabric composition of the Men Slim Fit Color Block Shirt?,"60% Cotton, 40% Polyester",Color Block shirt fabric composition
9,What is the price of the Men Slim Fit Striped Casual Shirt?,₹899,Blue striped shirt price
10,What type of sleeves does the Men Slim Fit Checkered Spread Collar Casual Shirt have?,Long sleeves with button cuffs,Brown checkered shirt